# Millis,estlat,estlon,nextwaypoint,bearing,distance,heading
111,39.5976030,-104.9328850,1,102.30,9.849,108.500
161,39.5976030,-104.9328850,1,102.30,9.849,108.500
211,39.5976030,-104.9328850,1,102.30,9.849,108.500
261,39.5976030,-104.9328850,1,102.30,9.849,108.500
311,39.5976030,-104.9328850,1,102.30,9.849,108.500
361,39.5976030,-104.9328850,1,102.30,9.849,108.500
411,39.5976030,-104.9328850,1,102.30,9.849,108.500
461,39.5976030,-104.9328850,1,102.30,9.849,108.600
511,39.5976030,-104.9328850,1,102.30,9.849,108.600
561,39.5976030,-104.9328850,1,102.30,9.849,108.400
611,39.5976030,-104.9328850,1,102.30,9.849,108.500
661,39.5976030,-104.9328850,1,102.30,9.849,108.500
711,39.5976030,-104.9328850,1,102.30,9.844,108.500
761,39.5976030,-104.9328850,1,102.30,9.844,108.500
811,39.5976030,-104.9328850,1,102.30,9.839,108.500
861,39.5976030,-104.9328850,1,102.30,9.839,108.500
911,39.5976030,-104.9328850,1,102.30,9.839,108.600
961,39.5976030,-104.9328840,1,102.30,9.834,108.600
1011,39.5976030,-104.9328840,1,102.30,9.834,108.600
1061,39.5976030,-104.9328840,1,102.30,9.829,108.600
1111,39.5976030,-104.9328840,1,102.30,9.829,108.600
1161,39.5976030,-104.9328840,1,102.30,9.829,108.700
1211,39.5976030,-104.9328840,1,102.30,9.829,108.700
1261,39.5976030,-104.9328840,1,102.30,9.829,108.700
1311,39.5976030,-104.9328840,1,102.30,9.829,108.700
1361,39.5976030,-104.9328840,1,102.30,9.829,108.700
1411,39.5976030,-104.9328840,1,102.30,9.829,108.800
1461,39.5976030,-104.9328840,1,102.30,9.824,108.800
1511,39.5976030,-104.9328840,1,102.30,9.814,108.700
1561,39.5976030,-104.9328840,1,102.20,9.809,108.500
1611,39.5976030,-104.9328840,1,102.20,9.789,108.400
1661,39.5976030,-104.9328840,1,102.20,9.769,108.300
1711,39.5976030,-104.9328840,1,102.20,9.750,108.200
1761,39.5976030,-104.9328830,1,102.20,9.730,108.000
1811,39.5976030,-104.9328830,1,102.20,9.710,107.800
1861,39.5976030,-104.9328830,1,102.20,9.670,107.600
1911,39.5976030,-104.9328820,1,102.10,9.640,107.400
1961,39.5976030,-104.9328820,1,102.10,9.604,107.300
2011,39.5976020,-104.9328810,1,102.10,9.559,107.100
2061,39.5976020,-104.9328810,1,102.10,9.514,106.700
2111,39.5976020,-104.9328800,1,102.10,9.464,106.400
2161,39.5976020,-104.9328800,1,102.00,9.414,106.100
2211,39.5976020,-104.9328790,1,102.00,9.364,105.800
2261,39.5976020,-104.9328790,1,102.00,9.304,105.200
2311,39.5976020,-104.9328780,1,102.00,9.249,104.900
2361,39.5976020,-104.9328770,1,102.00,9.194,104.400
2411,39.5976010,-104.9328770,1,101.90,9.133,104.000
2461,39.5976010,-104.9328760,1,101.90,9.068,103.700
2511,39.5976010,-104.9328750,1,101.90,9.003,103.400
2561,39.5976010,-104.9328740,1,101.90,8.942,103.100
2611,39.5976010,-104.9328740,1,101.90,8.877,103.000
2661,39.5976010,-104.9328730,1,101.90,8.812,102.900
2711,39.5976010,-104.9328720,1,101.90,8.742,102.500
2761,39.5976000,-104.9328710,1,101.90,8.671,102.000
2811,39.5976000,-104.9328710,1,101.90,8.606,101.800
2861,39.5976000,-104.9328700,1,101.90,8.531,101.400
2911,39.5976000,-104.9328690,1,101.90,8.465,101.300
2961,39.5976000,-104.9328680,1,101.90,8.385,101.000
3011,39.5976000,-104.9328670,1,101.90,8.320,100.800
3061,39.5976000,-104.9328660,1,101.90,8.239,100.500
3111,39.5976000,-104.9328660,1,101.90,8.169,100.300
3161,39.5975990,-104.9328650,1,101.90,8.089,100.400
3211,39.5975990,-104.9328640,1,102.00,8.018,100.400
3261,39.5975990,-104.9328630,1,102.00,7.938,100.500
3311,39.5975990,-104.9328620,1,102.00,7.868,100.400
3361,39.5975990,-104.9328610,1,102.00,7.787,100.400
3411,39.5975990,-104.9328600,1,102.20,7.713,72.700
3461,39.5975990,-104.9328590,1,102.40,7.647,72.400
3511,39.5975990,-104.9328590,1,102.70,7.577,73.600
3561,39.5976000,-104.9328580,1,103.00,7.507,73.600
3611,39.5976000,-104.9328570,1,103.40,7.433,74.500
3661,39.5976000,-104.9328560,1,103.70,7.362,76.200
3711,39.5976000,-104.9328550,1,104.00,7.286,75.700
3761,39.5976000,-104.9328540,1,104.30,7.215,77.700
3811,39.5976010,-104.9328530,1,104.60,7.139,77.900
3861,39.5976010,-104.9328520,1,104.90,7.066,79.700
3911,39.5976010,-104.9328510,1,105.10,6.989,80.900
3961,39.5976010,-104.9328500,1,105.40,6.910,82.800
4011,39.5976010,-104.9328490,1,105.70,6.832,81.600
4061,39.5976010,-104.9328480,1,106.00,6.758,83.300
4111,39.5976010,-104.9328470,1,106.30,6.675,83.100
4161,39.5976010,-104.9328460,1,106.60,6.596,84.600
4211,39.5976010,-104.9328450,1,106.80,6.517,83.600
4261,39.5976010,-104.9328440,1,107.10,6.438,85.300
4311,39.5976020,-104.9328430,1,107.50,6.350,84.800
4361,39.5976020,-104.9328420,1,107.70,6.276,86.400
4411,39.5976020,-104.9328410,1,108.00,6.196,86.300
4461,39.5976020,-104.9328400,1,108.30,6.112,87.800
4511,39.5976020,-104.9328390,1,108.60,6.027,88.100
4561,39.5976020,-104.9328380,1,108.90,5.947,89.600
4611,39.5976020,-104.9328370,1,109.20,5.866,90.200
4661,39.5976020,-104.9328360,1,109.50,5.776,91.800
4711,39.5976020,-104.9328350,1,109.70,5.694,92.500
4761,39.5976020,-104.9328340,1,110.00,5.607,93.900
4811,39.5976020,-104.9328330,1,110.20,5.525,95.000
4861,39.5976010,-104.9328320,1,110.50,5.433,96.100
4911,39.5976010,-104.9328310,1,110.70,5.350,98.100
4961,39.5976010,-104.9328300,1,110.90,5.256,99.100
5011,39.5976010,-104.9328290,1,111.10,5.168,101.000
5061,39.5976010,-104.9328280,1,111.30,5.083,102.200
5111,39.5976010,-104.9328260,1,111.40,4.989,103.500
5161,39.5976010,-104.9328250,1,111.50,4.899,104.300
5211,39.5976000,-104.9328240,1,111.70,4.804,108.100
5261,39.5976000,-104.9328230,1,111.70,4.714,108.300
5311,39.5976000,-104.9328220,1,111.70,4.619,112.100
5361,39.5975990,-104.9328210,1,111.70,4.523,112.600
5411,39.5975990,-104.9328200,1,111.70,4.428,113.200
5461,39.5975990,-104.9328190,1,111.70,4.337,113.200
5511,39.5975980,-104.9328180,1,111.60,4.237,115.000
5561,39.5975980,-104.9328170,1,111.50,4.142,114.900
5611,39.5975980,-104.9328160,1,111.40,4.052,117.000
5661,39.5975970,-104.9328150,1,111.30,3.952,116.700
5711,39.5975970,-104.9328140,1,111.10,3.852,118.600
5761,39.5975960,-104.9328130,1,111.00,3.762,118.000
5811,39.5975960,-104.9328120,1,110.70,3.663,119.500
5861,39.5975960,-104.9328110,1,110.50,3.558,119.000
5911,39.5975950,-104.9328100,1,110.20,3.469,120.900
5961,39.5975950,-104.9328090,1,109.90,3.370,120.100
6011,39.5975940,-104.9328080,1,109.60,3.267,122.400
6061,39.5975940,-104.9328070,1,109.20,3.169,122.100
6111,39.5975930,-104.9328060,1,108.70,3.067,124.300
6161,39.5975930,-104.9328050,1,108.20,2.970,123.600
6211,39.5975920,-104.9328040,1,107.60,2.869,124.700
6261,39.5975920,-104.9328030,1,107.00,2.768,123.500
6311,39.5975910,-104.9328020,1,106.30,2.663,124.700
6361,39.5975910,-104.9328010,1,105.50,2.562,123.700
6411,39.5975900,-104.9328000,1,104.80,2.463,124.100
6461,39.5975890,-104.9327990,1,103.90,2.358,122.800
6511,39.5975890,-104.9327980,1,103.00,2.254,123.700
6561,39.5975880,-104.9327970,1,102.00,2.151,122.100
6611,39.5975880,-104.9327960,1,100.90,2.048,123.000
6661,39.5975870,-104.9327950,1,99.60,1.941,121.500
6711,39.5975870,-104.9327940,1,98.30,1.839,121.900
6761,39.5975860,-104.9327920,1,96.80,1.728,120.000
6811,39.5975860,-104.9327910,1,95.10,1.623,120.800
6861,39.5975850,-104.9327900,1,93.30,1.519,118.900
6911,39.5975850,-104.9327890,1,91.30,1.416,119.500
6961,39.5975840,-104.9327880,1,88.80,1.310,117.400
7011,39.5975840,-104.9327860,1,86.00,1.201,117.800
7061,39.5975830,-104.9327850,1,82.90,1.104,115.100
7111,39.5975830,-104.9327840,2,78.80,0.996,115.900
7161,39.5975820,-104.9327820,2,178.10,19.607,113.000
7211,39.5975820,-104.9327810,2,178.40,19.552,114.100
7261,39.5975810,-104.9327800,2,178.80,19.498,111.100
7311,39.5975810,-104.9327780,2,179.10,19.449,111.500
7361,39.5975800,-104.9327770,2,179.50,19.399,112.100
7411,39.5975800,-104.9327750,2,179.80,19.354,108.800
7461,39.5975800,-104.9327740,2,-179.80,19.308,112.600
7511,39.5975790,-104.9327730,2,-179.40,19.266,106.300
7561,39.5975790,-104.9327710,2,-179.00,19.225,111.400
7611,39.5975790,-104.9327700,2,-178.70,19.188,104.000
7661,39.5975780,-104.9327680,2,-178.30,19.153,109.500
7711,39.5975780,-104.9327670,2,-177.90,19.121,103.200
7761,39.5975770,-104.9327650,2,-177.50,19.089,109.100
7811,39.5975770,-104.9327630,2,-177.10,19.059,103.700
7861,39.5975770,-104.9327620,2,-176.70,19.029,109.600
7911,39.5975760,-104.9327600,2,-176.30,18.997,105.200
7961,39.5975760,-104.9327590,2,-175.90,18.965,111.200
8011,39.5975760,-104.9327570,2,-175.50,18.931,106.800
8061,39.5975750,-104.9327560,2,-175.10,18.899,113.100
8111,39.5975750,-104.9327550,2,-174.70,18.861,109.400
8161,39.5975740,-104.9327530,2,-174.40,18.824,115.700
8211,39.5975740,-104.9327520,2,-174.00,18.783,112.600
8261,39.5975730,-104.9327500,2,-173.60,18.740,119.000
8311,39.5975730,-104.9327490,2,-173.30,18.695,116.300
8361,39.5975720,-104.9327480,2,-172.90,18.646,122.800
8411,39.5975720,-104.9327470,2,-172.60,18.596,120.400
8461,39.5975710,-104.9327450,2,-172.20,18.543,126.900
8511,39.5975710,-104.9327440,2,-171.90,18.486,125.200
8561,39.5975700,-104.9327430,2,-171.50,18.427,131.300
8611,39.5975690,-104.9327420,2,-171.20,18.366,129.500
8661,39.5975690,-104.9327410,2,-170.90,18.300,135.400
8711,39.5975680,-104.9327400,2,-170.60,18.232,134.700
8761,39.5975670,-104.9327390,2,-170.30,18.162,140.600
8811,39.5975660,-104.9327380,2,-170.10,18.086,141.000
8861,39.5975650,-104.9327380,2,-169.80,18.010,146.600
8911,39.5975650,-104.9327370,2,-169.60,17.926,147.300
8961,39.5975640,-104.9327360,2,-169.30,17.839,152.600
9011,39.5975630,-104.9327360,2,-169.10,17.746,154.500
9061,39.5975620,-104.9327350,2,-168.90,17.651,159.000
9111,39.5975610,-104.9327350,2,-168.70,17.554,164.400
9161,39.5975600,-104.9327340,2,-168.50,17.450,168.300
9211,39.5975590,-104.9327340,2,-168.40,17.337,173.400
9261,39.5975580,-104.9327340,2,-168.30,17.227,176.900
9311,39.5975570,-104.9327340,2,-168.20,17.113,185.300
9361,39.5975560,-104.9327340,2,-168.20,16.993,187.800
9411,39.5975550,-104.9327350,2,-168.20,16.879,202.900
9461,39.5975540,-104.9327350,2,-168.30,16.756,204.600
9511,39.5975530,-104.9327360,2,-168.50,16.649,225.700
9561,39.5975520,-104.9327370,2,-168.70,16.546,226.700
9611,39.5975510,-104.9327380,2,-169.10,16.467,247.900
9661,39.5975510,-104.9327400,2,-169.40,16.398,247.300
9711,39.5975510,-104.9327410,2,-169.80,16.349,263.400
9761,39.5975510,-104.9327430,2,-170.30,16.310,260.800
9811,39.5975510,-104.9327440,2,-170.70,16.289,276.400
9861,39.5975510,-104.9327460,2,-171.20,16.279,272.000
9911,39.5975510,-104.9327470,2,-171.60,16.277,282.100
