# Millis,estlat,estlon,nextwaypoint,bearing,distance,heading
100,39.6019080,-104.9300340,1,71.40,29.864,356.600
150,39.6019080,-104.9300340,1,71.40,29.864,356.600
200,39.6019080,-104.9300340,1,71.40,29.864,356.600
250,39.6019080,-104.9300340,1,71.40,29.864,356.600
300,39.6019080,-104.9300340,1,71.40,29.864,356.500
350,39.6019080,-104.9300340,1,71.40,29.864,356.600
400,39.6019080,-104.9300340,1,71.40,29.864,356.600
450,39.6019080,-104.9300340,1,71.40,29.864,356.500
500,39.6019080,-104.9300340,1,71.40,29.864,356.500
550,39.6019080,-104.9300340,1,71.40,29.864,356.500
600,39.6019080,-104.9300340,1,71.40,29.864,356.500
650,39.6019080,-104.9300340,1,71.40,29.864,356.600
700,39.6019080,-104.9300340,1,71.40,29.864,356.500
750,39.6019080,-104.9300340,1,71.40,29.864,356.500
800,39.6019080,-104.9300340,1,71.40,29.864,356.500
850,39.6019080,-104.9300340,1,71.40,29.864,356.600
900,39.6019080,-104.9300340,1,71.40,29.864,356.600
950,39.6019080,-104.9300340,1,71.40,29.864,356.500
1000,39.6019080,-104.9300340,1,71.40,29.864,0.000
1050,39.6019080,-104.9300340,1,71.40,29.864,0.100
1100,39.6019080,-104.9300340,1,71.40,29.864,0.100
1150,39.6019080,-104.9300340,1,71.40,29.864,0.100
1200,39.6019080,-104.9300340,1,71.40,29.864,0.100
1250,39.6019080,-104.9300340,1,71.40,29.864,0.100
1300,39.6019080,-104.9300340,1,71.40,29.864,0.100
1350,39.6019080,-104.9300340,1,71.40,29.864,0.100
1400,39.6019080,-104.9300340,1,71.40,29.864,0.100
1450,39.6019080,-104.9300340,1,71.40,29.864,0.100
1500,39.6019080,-104.9300340,1,71.40,29.864,0.100
1550,39.6019080,-104.9300340,1,71.40,29.864,0.100
1600,39.6019080,-104.9300340,1,71.40,29.864,0.100
1650,39.6019080,-104.9300340,1,71.40,29.864,0.100
1700,39.6019080,-104.9300340,1,71.40,29.864,0.100
